player_name,Player,season,G,Min,eFG_per,OR_per,DR_per,TO_per,FTr,Fguse_per,ShotUse_per,AstRate,FG3r,BLKr,STLr,PF/48min,FG2_per,FG3_per,TREB_per,Floor_per,ORTG,PtsProd,PossUsg,DRTG,NetPts/48,NetPtsAR,WinsAR,StartYear,YearsInLeague,all_nba,team,Positions
Alaa Abdelnaby,"Abdelnaby,Alaa",1991,43,290,0.474,0.104,0.234,0.169,0.216,0.216,0.219,0.058,0,0.023,0.007,6.5,0.474,,0.17,0.51,99.3,129,21%,101.7,-0.5,9,0.3,1991,1,0,None,4.5
Alaa Abdelnaby,"Abdelnaby,Alaa",1992,71,934,0.493,0.095,0.209,0.173,0.211,0.209,0.205,0.047,0,0.01,0.013,6.8,0.493,,0.152,0.52,105.2,401,20%,103.3,0.4,46,1.5,1991,2,0,None,4.5
Alaa Abdelnaby,"Abdelnaby,Alaa",1993,75,1311,0.518,0.11,0.184,0.186,0.186,0.203,0.201,0.031,0.002,0.011,0.01,6.9,0.519,0,0.147,0.52,103.8,542,20%,107.8,-0.7,34,1.1,1991,3,0,None,4.5
Alaa Abdelnaby,"Abdelnaby,Alaa",1994,13,159,0.436,0.085,0.242,0.24,0.291,0.195,0.207,0.027,0,0.011,0.006,6,0.436,,0.163,0.44,86.5,61,22%,111.1,-5,-10,-0.3,1991,4,0,None,4.5
Alaa Abdelnaby,"Abdelnaby,Alaa",1995,54,506,0.511,0.086,0.176,0.195,0.087,0.278,0.259,0.049,0.009,0.014,0.016,9.9,0.515,0,0.131,0.47,93.9,217,24%,104.8,-2.2,-2,-0.1,1991,5,0,None,4.5
Zaid Abdul-Aziz,"Abdul-Aziz,Zaid",1978,16,158,0.383,0.125,0.204,0.195,0.283,0.196,0.204,0.085,0,0.01,0.009,8.8,0.383,,0.164,0.47,93.3,67,22%,105.3,-2.4,-1,0,,,0,None,
Kareem Abdul-Jabbar,"Abdul-Jabbar,Kar",1978,62,2265,0.55,0.087,0.268,0.157,0.227,0.275,0.276,0.183,0,0.041,0.021,3.9,0.55,,0.181,0.56,113,1499,27%,94.5,5.3,343,11.4,,,0,None,
Kareem Abdul-Jabbar,"Abdul-Jabbar,Kar",1979,80,3157,0.577,0.076,0.267,0.173,0.259,0.228,0.234,0.189,0,0.05,0.011,3.5,0.577,,0.176,0.57,114.6,1872,24%,98.7,4,396,13.2,,,0,None,
Kareem Abdul-Jabbar,"Abdul-Jabbar,Kar",1980,82,3143,0.604,0.072,0.222,0.185,0.263,0.237,0.243,0.165,0.001,0.045,0.012,3.3,0.604,0,0.154,0.59,117.7,1894,24%,100.8,4.3,411,13.7,,,1,First Team,
Kareem Abdul-Jabbar,"Abdul-Jabbar,Kar",1981,80,2976,0.574,0.076,0.215,0.156,0.29,0.263,0.271,0.136,0.001,0.039,0.009,3.9,0.574,0,0.15,0.59,118.1,1888,25%,102.2,4.3,392,13.1,,,1,First Team,
Kareem Abdul-Jabbar,"Abdul-Jabbar,Kar",1982,76,2677,0.579,0.073,0.191,0.165,0.24,0.254,0.259,0.119,0.002,0.04,0.011,4,0.58,0,0.134,0.58,115.8,1618,24%,103.5,3.3,296,9.9,,,0,None,
Kareem Abdul-Jabbar,"Abdul-Jabbar,Kar",1983,79,2554,0.588,0.076,0.176,0.157,0.226,0.253,0.255,0.108,0.002,0.034,0.011,4.1,0.589,0,0.128,0.59,118.5,1509,23%,104,3.7,304,10.1,,,1,Second Team,
Kareem Abdul-Jabbar,"Abdul-Jabbar,Kar",1984,80,2622,0.578,0.078,0.168,0.165,0.23,0.258,0.258,0.115,0.001,0.028,0.01,3.9,0.579,0,0.127,0.58,115,1538,24%,106.5,2.4,238,7.9,,,1,First Team,
Kareem Abdul-Jabbar,"Abdul-Jabbar,Kar",1985,79,2630,0.599,0.077,0.182,0.152,0.239,0.25,0.252,0.131,0.001,0.032,0.011,4.3,0.6,0,0.135,0.6,120.4,1564,23%,105.1,3.8,317,10.6,,,1,Second Team,
Kareem Abdul-Jabbar,"Abdul-Jabbar,Kar",1986,79,2629,0.564,0.06,0.142,0.143,0.251,0.275,0.276,0.157,0.001,0.026,0.012,4.5,0.565,0,0.103,0.59,117.6,1671,25%,105.6,3.5,301,10,,,1,First Team,
Kareem Abdul-Jabbar,"Abdul-Jabbar,Kar",1987,78,2441,0.564,0.074,0.158,0.169,0.247,0.222,0.221,0.116,0.003,0.021,0.009,4.8,0.565,0.333,0.119,0.57,114,1254,21%,106.7,1.7,187,6.2,,,0,None,
Kareem Abdul-Jabbar,"Abdul-Jabbar,Kar",1988,80,2308,0.532,0.061,0.169,0.165,0.227,0.219,0.215,0.084,0.001,0.021,0.01,4.5,0.532,0,0.117,0.54,108.7,1046,20%,106.8,0.4,115,3.8,,,0,None,
Kareem Abdul-Jabbar,"abdul-jabbar,kar",1989,74,1695,0.475,0.073,0.142,0.142,0.185,0.216,0.208,0.061,0.005,0.026,0.011,5.6,0.477,0,0.11,0.52,103.8,695,19%,107.7,-0.8,42,1.4,,,0,None,
Mahmoud Abdul-Rauf,"Abdul-Rauf,Mahmo",1991,67,1505,0.425,0.019,0.06,0.119,0.083,0.298,0.281,0.192,0.099,0.001,0.015,4.8,0.432,0.24,0.038,0.46,96.3,887,26%,118.7,-5.3,-103,-3.4,1991,1,0,None,1.5
Mahmoud Abdul-Rauf,"Abdul-Rauf,Mahmo",1992,81,1538,0.44,0.015,0.068,0.146,0.111,0.295,0.278,0.21,0.111,0.001,0.014,4.1,0.433,0.33,0.04,0.47,98.7,793,25%,112.6,-2.8,-25,-0.8,1991,2,0,None,1.5
Mahmoud Abdul-Rauf,"Abdul-Rauf,Mahmo",1993,81,2710,0.475,0.02,0.068,0.136,0.154,0.283,0.267,0.208,0.14,0.002,0.015,3.2,0.465,0.355,0.044,0.5,106.9,1468,24%,110.6,-0.4,90,3,1991,3,0,None,1.5
Mahmoud Abdul-Rauf,"Abdul-Rauf,Mahmo",1994,80,2617,0.476,0.012,0.058,0.12,0.171,0.285,0.267,0.241,0.104,0.002,0.016,2.8,0.476,0.316,0.036,0.52,109.4,1372,24%,108.2,0.7,145,4.8,1991,4,0,None,1.5
Mahmoud Abdul-Rauf,"Abdul-Rauf,Mahmo",1995,73,2082,0.511,0.019,0.059,0.123,0.137,0.299,0.277,0.23,0.214,0.003,0.019,2.9,0.492,0.386,0.039,0.52,112.1,1088,24%,113.6,0.2,98,3.3,1991,5,0,None,1.5
Mahmoud Abdul-Rauf,"Abdul-Rauf,Mahmo",1996,57,2029,0.497,0.015,0.064,0.119,0.153,0.28,0.264,0.347,0.324,0.001,0.016,2.8,0.454,0.392,0.039,0.5,113.7,1095,25%,113.5,0.7,114,3.8,1991,6,0,None,1.5
Mahmoud Abdul-Rauf,"abdul-rauf,mahmo",1997,75,2131,0.496,0.009,0.059,0.136,0.124,0.26,0.245,0.158,0.266,0.002,0.014,3.9,0.468,0.382,0.033,0.48,105.2,919,22%,113.6,-1.4,25,0.8,1991,7,0,None,1.5
Mahmoud Abdul-Rauf,"abdul-rauf,mahmo",1998,31,530,0.386,0.012,0.067,0.08,0.059,0.304,0.277,0.197,0.114,0.001,0.016,2.8,0.405,0.161,0.039,0.43,90.4,214,23%,109.2,-3.7,-18,-0.6,1991,8,0,None,1.5
Mahmoud Abdul-Rauf,"abdul-rauf,mahmo",2001,41,486,0.496,0.012,0.049,0.109,0.089,0.306,0.287,0.327,0.057,0.001,0.01,4.9,0.5,0.286,0.031,0.51,103.5,246,26%,114.3,-1.6,5,0.2,1991,11,0,None,1.5
Tariq Abdul-Wahad,"abdul-wahad,tari",1998,59,959,0.409,0.05,0.086,0.166,0.235,0.22,0.223,0.089,0.053,0.007,0.019,4.1,0.414,0.211,0.067,0.45,90.7,356,21%,109.8,-3.6,-32,-1.1,1998,1,0,None,2.5
Tariq Abdul-Wahad,"abdul-wahad,tari",1999,49,1205,0.442,0.063,0.099,0.157,0.231,0.191,0.194,0.065,0.052,0.007,0.021,4.8,0.443,0.286,0.081,0.48,97.7,435,18%,105.7,-1.6,11,0.4,1998,2,0,None,2.5
Tariq Abdul-Wahad,"Abdul-Wahad,Tari",2000,61,1578,0.426,0.069,0.132,0.153,0.226,0.233,0.232,0.101,0.036,0.01,0.019,4.5,0.435,0.13,0.1,0.48,97.8,680,22%,103.6,-1.1,30,1,1998,3,0,None,2.5
Tariq Abdul-Wahad,"abdul-wahad,tari",2001,29,420,0.405,0.036,0.118,0.247,0.189,0.152,0.154,0.081,0.09,0.018,0.017,6.2,0.386,0.4,0.076,0.39,79.5,109,17%,107.6,-4.7,-24,-0.8,1998,4,0,None,2.5
Tariq Abdul-Wahad,"abdul-wahad,tari",2002,24,441,0.378,0.103,0.112,0.168,0.163,0.192,0.188,0.084,0.014,0.013,0.024,6.1,0.372,0.5,0.107,0.44,89.7,144,19%,107.7,-3.2,-11,-0.4,1998,5,0,None,2.5
Tariq Abdul-Wahad,"Abdul-Wahad,Tari",2003,14,204,0.466,0.076,0.14,0.111,0.052,0.161,0.152,0.154,0.017,0.009,0.015,6.1,0.474,0,0.108,0.52,106,67,16%,107.6,-0.7,6,0.2,1998,6,0,None,2.5
Shareef Abdur-Rahim,"abdur-rahim,shar",1997,80,2802,0.456,0.088,0.142,0.162,0.319,0.266,0.281,0.121,0.022,0.017,0.015,3.4,0.457,0.259,0.115,0.5,102,1420,27%,112.9,-1.7,17,0.6,1997,1,0,None,3.5
Shareef Abdur-Rahim,"abdur-rahim,shar",1998,82,2950,0.493,0.089,0.138,0.164,0.373,0.276,0.29,0.135,0.038,0.015,0.016,3.3,0.488,0.412,0.113,0.53,109.5,1715,28%,112.3,0.4,146,4.9,1997,2,0,None,3.5
Shareef Abdur-Rahim,"abdur-rahim,shar",1999,50,2021,0.438,0.065,0.154,0.174,0.413,0.28,0.293,0.176,0.04,0.017,0.018,3.3,0.438,0.306,0.109,0.5,104.3,1111,28%,107.4,0.2,93,3.1,1997,3,0,None,3.5
Shareef Abdur-Rahim,"Abdur-Rahim,Shar",2000,82,3223,0.477,0.08,0.227,0.165,0.349,0.244,0.254,0.155,0.075,0.016,0.015,3.6,0.478,0.302,0.153,0.52,108.3,1635,25%,106.1,0.9,198,6.6,1997,4,0,None,3.5
Shareef Abdur-Rahim,"abdur-rahim,shar",2001,81,3241,0.477,0.062,0.196,0.156,0.346,0.239,0.25,0.143,0.05,0.014,0.015,3.5,0.487,0.188,0.13,0.51,106.1,1582,24%,103.6,0.9,193,6.4,1997,5,0,None,3.5
Shareef Abdur-Rahim,"abdur-rahim,shar",2002,77,2980,0.469,0.076,0.192,0.164,0.323,0.26,0.271,0.151,0.054,0.016,0.017,3.4,0.47,0.3,0.133,0.51,104.6,1597,27%,104.1,0.6,163,5.4,1997,6,0,None,3.5
Shareef Abdur-Rahim,"Abdur-Rahim,Shar",2003,81,3087,0.487,0.067,0.178,0.152,0.385,0.237,0.249,0.147,0.051,0.007,0.015,3.7,0.485,0.35,0.125,0.53,111.4,1557,24%,105.6,1.6,233,7.8,1997,7,0,None,3.5
Shareef Abdur-Rahim,"abdur-rahim,shar",2004,85,2686,0.48,0.082,0.192,0.153,0.354,0.241,0.251,0.122,0.032,0.008,0.014,3.9,0.482,0.265,0.138,0.53,109.8,1318,24%,103.7,1.6,204,6.8,1997,8,0,None,3.5
Shareef Abdur-Rahim,"abdur-rahim,shar",2005,54,1867,0.514,0.079,0.16,0.155,0.328,0.221,0.227,0.107,0.058,0.009,0.014,3.9,0.51,0.385,0.121,0.54,113.5,859,22%,108,1.2,125,4.2,1997,9,0,None,3.5
Shareef Abdur-Rahim,"abdur-rahim,shar",2006,72,1956,0.531,0.065,0.149,0.141,0.345,0.197,0.204,0.133,0.033,0.013,0.013,5.6,0.537,0.238,0.107,0.56,115.1,863,20%,106.8,1.5,144,4.8,1997,10,0,None,3.5
Shareef Abdur-Rahim,"Abdur-Rahim,Shar",2007,80,2002,0.476,0.07,0.165,0.15,0.26,0.198,0.197,0.093,0.031,0.012,0.013,5.8,0.484,0.15,0.117,0.51,102.7,795,20%,107.8,-1,42,1.4,1997,11,0,None,3.5
Shareef Abdur-Rahim,"Abdur-Rahim,Shar",2008,6,51,0.214,0.142,0.091,0.062,0.286,0.166,0.162,0.111,0,0,0.01,8.5,0.214,,0.116,0.44,94.8,15,16%,119.5,-4.5,-3,-0.1,1997,12,0,None,3.5
Tom Abernethy,"Abernethy,Tom",1978,73,1317,0.498,0.085,0.12,0.114,0.225,0.158,0.158,0.097,0,0.008,0.019,4.4,0.498,,0.103,0.57,115.3,506,15%,102.4,1.6,99,3.3,,,0,None,
Tom Abernethy,"Abernethy,Tom",1979,70,1219,0.515,0.065,0.126,0.091,0.205,0.149,0.15,0.084,0,0.006,0.015,5.2,0.515,,0.095,0.59,118.1,417,14%,104.4,1.4,87,2.9,,,0,None,
Tom Abernethy,"Abernethy,Tom",1980,67,1222,0.481,0.054,0.12,0.115,0.176,0.141,0.141,0.093,0.003,0.006,0.014,4.6,0.483,0,0.086,0.55,109,368,13%,109.3,-0.8,31,1,,,0,None,
Tom Abernethy,"Abernethy,Tom",1981,39,298,0.424,0.072,0.106,0.119,0.22,0.108,0.108,0.079,0.017,0.006,0.011,5.5,0.431,0,0.089,0.54,106.7,72,11%,109.9,-1.4,4,0.1,,,0,None,
Alex Acker,"acker,alex",2006,5,35,0.281,0.034,0.137,0.237,0,0.276,0.247,0.179,0.313,0,0.016,5.5,0.273,0.2,0.085,0.27,60.7,10,27%,110.9,-10.9,-6,-0.2,2006,1,0,None,1.5
Alex Acker,"Acker,Alex",2009,25,205,0.441,0.045,0.093,0.095,0.066,0.223,0.211,0.098,0.263,0.012,0.013,2.1,0.411,0.35,0.069,0.44,95.3,70,19%,116.2,-3.8,-8,-0.3,2006,4,0,None,1.5
Mark Acres,"Acres,Mark",1988,79,1151,0.532,0.116,0.159,0.188,0.35,0.101,0.109,0.045,0,0.013,0.012,8.3,0.532,,0.139,0.57,112.7,324,12%,109.1,-0.3,41,1.4,1988,1,0,None,4.5
Mark Acres,"acres,mark",1989,62,632,0.487,0.109,0.156,0.162,0.228,0.1,0.103,0.037,0.009,0.005,0.015,7.1,0.478,1,0.133,0.55,108,154,11%,109,-1,14,0.5,1988,2,0,None,4.5
Mark Acres,"acres,mark",1990,80,1691,0.489,0.093,0.178,0.187,0.291,0.089,0.091,0.05,0.014,0.008,0.01,7,0.48,0.75,0.134,0.55,109.9,411,10%,114.1,-1.9,2,0.1,1988,3,0,None,4.5
Mark Acres,"Acres,mark",1991,68,1313,0.512,0.113,0.187,0.152,0.308,0.089,0.093,0.025,0.014,0.01,0.009,8,0.512,0.333,0.149,0.58,116.3,321,10%,111.4,-0.7,36,1.2,1988,4,0,None,4.5
Mark Acres,"Acres,Mark",1992,68,926,0.52,0.114,0.192,0.167,0.338,0.09,0.094,0.032,0.02,0.009,0.013,7.3,0.52,0.333,0.152,0.58,117.9,232,10%,109.5,-0.1,37,1.2,1988,5,0,None,4.5
Mark Acres,"Acres,Mark",1993,18,269,0.541,0.111,0.169,0.207,0.224,0.104,0.105,0.025,0.041,0.012,0.006,6.1,0.532,0.5,0.141,0.53,107.4,67,12%,110.8,-1.3,4,0.1,1988,6,0,None,4.5
Quincy Acy,"Acy,Quincy",2013,29,342,0.567,0.103,0.166,0.181,0.413,0.131,0.142,0.052,0.027,0.027,0.02,7.4,0.562,0.5,0.134,0.57,119.9,113,15%,97.5,2.9,35,1.2,2013,1,0,None,4
Quincy Acy,"Acy,Quincy",2014,63,848,0.482,0.095,0.197,0.169,0.248,0.098,0.1,0.049,0.106,0.018,0.014,6.9,0.492,0.267,0.146,0.48,100.9,179,11%,109.6,-1.9,2,0.1,2013,2,0,None,4
Quincy Acy,"Acy,Quincy",2015,68,1287,0.486,0.069,0.205,0.162,0.23,0.152,0.155,0.087,0.181,0.01,0.011,5.5,0.494,0.3,0.135,0.48,102.4,380,15%,106,-0.9,30,1,2013,3,0,None,4
Alvan Adams,"Adams,Alvan",1978,70,1914,0.485,0.084,0.222,0.215,0.239,0.236,0.239,0.164,0,0.017,0.019,6.1,0.485,,0.152,0.49,97.7,1065,25%,95.9,0.6,104,3.5,,,0,None,
Alvan Adams,"Adams,Alvan",1979,77,2364,0.53,0.105,0.224,0.212,0.215,0.239,0.236,0.208,0,0.014,0.021,5,0.53,,0.166,0.53,106.3,1398,25%,100.5,1.7,184,6.1,,,0,None,
Alvan Adams,"Adams,Alvan",1980,75,2168,0.531,0.082,0.224,0.205,0.215,0.22,0.215,0.216,0.002,0.013,0.023,5.2,0.533,0,0.154,0.53,107.2,1140,23%,99.9,1.8,170,5.7,,,0,None,
Alvan Adams,"Adams,Alvan",1981,75,2054,0.526,0.086,0.205,0.213,0.229,0.228,0.226,0.245,0,0.018,0.024,5.3,0.526,,0.147,0.54,108.1,1145,24%,97.2,2.6,199,6.6,,,0,None,
Alvan Adams,"Adams,Alvan",1982,79,2393,0.494,0.066,0.202,0.171,0.177,0.238,0.232,0.221,0.001,0.018,0.023,5.4,0.494,0,0.136,0.53,105.9,1211,23%,99.3,1.5,177,5.9,,,0,None,
Alvan Adams,"Adams,Alvan",1983,80,2447,0.487,0.076,0.167,0.208,0.183,0.221,0.214,0.218,0.003,0.016,0.022,5.6,0.487,0.333,0.124,0.51,102.2,1191,22%,98.1,1,152,5.1,,,0,None,
Alvan Adams,"Adams,Alvan",1984,70,1452,0.462,0.095,0.163,0.17,0.227,0.22,0.217,0.203,0.007,0.012,0.024,6.4,0.465,0,0.129,0.53,106.6,735,22%,105.8,0.3,71,2.4,,,0,None,
Alvan Adams,"Adams,Alvan",1985,82,2136,0.52,0.082,0.181,0.181,0.273,0.238,0.237,0.218,0,0.012,0.025,5.7,0.52,,0.133,0.54,110.9,1204,24%,103.8,1.9,174,5.8,,,0,None,
Alvan Adams,"Adams,Alvan",1986,78,2005,0.502,0.089,0.181,0.23,0.234,0.192,0.186,0.225,0.003,0.012,0.024,6.5,0.504,0,0.137,0.52,103.7,930,20%,104.7,-0.2,76,2.5,,,0,None,
Alvan Adams,"Adams,Alvan",1987,68,1690,0.503,0.062,0.161,0.192,0.217,0.202,0.197,0.184,0.002,0.012,0.017,5.9,0.504,0,0.112,0.52,105.7,765,20%,109.2,-0.7,46,1.5,,,0,None,
Alvan Adams,"Adams,Alvan",1988,82,1646,0.497,0.08,0.17,0.223,0.213,0.166,0.163,0.149,0.004,0.014,0.024,7.1,0.496,0.5,0.125,0.51,102.9,646,18%,108.6,-1.2,26,0.9,,,0,None,
Hassan Adams,"Adams,Hassan",2007,61,517,0.556,0.08,0.095,0.149,0.178,0.163,0.159,0.043,0.007,0.005,0.017,4.4,0.56,0,0.088,0.54,109,161,15%,108.7,-0.4,17,0.6,2007,1,0,None,2
Hassan Adams,"Adams,Hassan",2009,12,52,0.308,0.023,0.134,0.236,0.231,0.148,0.158,0.028,0,0.011,0.01,3.7,0.308,,0.079,0.33,64.1,11,17%,113,-8.1,-7,-0.2,2007,3,0,None,2
Jordan Adams,"Adams,Jordan",2015,30,248,0.465,0.042,0.087,0.171,0.163,0.204,0.203,0.101,0.291,0.017,0.034,4.6,0.41,0.4,0.064,0.46,99.5,81,17%,100.8,-0.3,9,0.3,2015,1,0,None,2
Michael Adams,"Adams,Michael",1986,18,139,0.364,0.016,0.032,0.209,0.182,0.173,0.17,0.203,0.068,0.004,0.03,3.1,0.39,0,0.024,0.43,86.1,45,18%,109.4,-4.5,-7,-0.2,1986,1,0,None,1.5
Michael Adams,"Adams,Michael",1987,63,1303,0.443,0.03,0.07,0.173,0.267,0.161,0.159,0.257,0.26,0.002,0.031,3.2,0.454,0.275,0.05,0.51,108.9,511,17%,107.7,0,54,1.8,1986,2,0,None,1.5
Michael Adams,"Adams,Michael",1988,82,2778,0.524,0.015,0.072,0.141,0.179,0.166,0.161,0.225,0.409,0.003,0.028,2.4,0.505,0.367,0.042,0.51,115.1,1173,17%,107.2,1.1,180,6,1986,3,0,None,1.5
Michael Adams,"adams,michael",1989,77,2787,0.509,0.025,0.083,0.144,0.298,0.19,0.195,0.222,0.431,0.002,0.027,2.6,0.49,0.356,0.052,0.52,115.3,1438,20%,108.6,1.4,199,6.6,1986,4,0,None,1.5
Michael Adams,"adams,michael",1990,79,2690,0.482,0.018,0.073,0.127,0.27,0.182,0.185,0.233,0.437,0.001,0.02,2.4,0.431,0.366,0.044,0.5,114.2,1266,19%,109.3,0.8,159,5.3,1986,5,0,None,1.5
Michael Adams,"Adams,Michael",1991,66,2346,0.453,0.021,0.088,0.148,0.327,0.27,0.281,0.394,0.397,0.001,0.026,3.3,0.459,0.296,0.052,0.51,113.6,1847,29%,114,1.4,167,5.6,1986,6,0,None,1.5
Michael Adams,"Adams,Michael",1992,78,2795,0.444,0.022,0.101,0.15,0.254,0.24,0.242,0.315,0.313,0.002,0.025,2.8,0.425,0.324,0.061,0.48,105.9,1496,25%,108.9,-0.3,99,3.3,1986,7,0,None,1.5
Michael Adams,"Adams,Michael",1993,70,2499,0.48,0.023,0.086,0.17,0.285,0.186,0.189,0.306,0.255,0.001,0.02,2.8,0.48,0.321,0.054,0.51,110.5,1137,20%,112.2,-0.3,88,2.9,1986,8,0,None,1.5
Michael Adams,"Adams,Michael",1994,70,2337,0.448,0.018,0.074,0.186,0.321,0.172,0.177,0.298,0.274,0.001,0.021,2.9,0.454,0.288,0.046,0.5,108.3,974,19%,113.1,-1,49,1.6,1986,9,0,None,1.5
Michael Adams,"Adams,Michael",1995,29,443,0.551,0.017,0.059,0.15,0.169,0.206,0.197,0.346,0.547,0.001,0.027,4.4,0.567,0.358,0.039,0.51,119.1,207,21%,108.2,2.1,38,1.3,1986,10,0,None,1.5
Michael Adams,"Adams,Michael",1996,21,329,0.53,0.018,0.064,0.213,0.313,0.152,0.157,0.304,0.494,0.007,0.033,3.6,0.548,0.341,0.041,0.51,114.4,134,19%,110.7,0.5,17,0.6,1986,11,0,None,1.5
Steven Adams,"Adams,Steven",2014,81,1197,0.503,0.141,0.171,0.239,0.427,0.09,0.104,0.05,0,0.028,0.017,8.1,0.503,,0.156,0.54,110.4,328,12%,102.7,0.6,65,2.2,2014,1,0,None,4.5
Steven Adams,"Adams,Steven",2015,70,1771,0.544,0.122,0.193,0.187,0.258,0.126,0.136,0.054,0.005,0.027,0.011,6,0.547,0,0.158,0.53,107.6,568,15%,103.8,0.2,82,2.7,2014,2,0,None,4.5
Rafael Addison,"Addison,Rafael",1987,62,711,0.465,0.066,0.101,0.162,0.154,0.257,0.243,0.091,0.151,0.005,0.018,5.1,0.463,0.32,0.084,0.47,98.4,328,22%,111.4,-2.7,-10,-0.3,1987,1,0,None,3
Rafael Addison,"Addison,Rafael",1992,76,1175,0.449,0.057,0.093,0.117,0.13,0.192,0.186,0.081,0.113,0.013,0.012,4.5,0.452,0.286,0.074,0.52,106.5,420,16%,111.6,-1.2,19,0.6,1987,6,0,None,3
Rafael Addison,"Addison,Rafael",1993,68,1164,0.451,0.042,0.082,0.161,0.139,0.197,0.187,0.068,0.083,0.005,0.01,5.2,0.464,0.206,0.062,0.48,98.4,392,17%,109.8,-2.2,-4,-0.1,1987,7,0,None,3
Rafael Addison,"Addison,Rafael",1995,79,1776,0.497,0.044,0.116,0.129,0.126,0.196,0.188,0.099,0.142,0.008,0.015,6.4,0.507,0.289,0.08,0.5,104.7,616,17%,114,-1.9,5,0.2,1987,9,0,None,3
Rafael Addison,"Addison,Rafael",1996,53,516,0.467,0.058,0.156,0.159,0.103,0.192,0.179,0.092,0.055,0.01,0.009,6.9,0.494,0,0.106,0.48,98.6,168,17%,113.8,-2.8,-8,-0.3,1987,10,0,None,3
Rafael Addison,"addison,rafael",1997,41,355,0.434,0.067,0.086,0.13,0.18,0.215,0.208,0.155,0.164,0.005,0.012,7,0.402,0.4,0.077,0.48,103,135,20%,114.1,-2,0,0,1987,11,0,None,3
Jeff Adrien,"Adrien,Jeff",2011,23,196,0.426,0.13,0.207,0.144,0.204,0.155,0.161,0.073,0,0.015,0.01,6.9,0.426,,0.168,0.47,96.7,61,16%,109.6,-2.4,-2,-0.1,2011,1,0,None,4
Jeff Adrien,"Adrien,Jeff",2012,8,63,0.438,0.092,0.317,0.099,0.438,0.148,0.176,0.024,0,0.019,0,9.9,0.438,,0.203,0.55,106.6,22,17%,94.5,1.9,5,0.2,2011,2,0,None,4
Jeff Adrien,"Adrien,Jeff",2013,52,713,0.429,0.106,0.212,0.144,0.387,0.14,0.155,0.083,0.012,0.022,0.013,5.4,0.434,0,0.157,0.5,101.3,225,16%,105.9,-1,15,0.5,2011,3,0,None,4
Jeff Adrien,"Adrien,Jeff",2014,53,962,0.52,0.118,0.246,0.124,0.276,0.169,0.178,0.066,0,0.022,0.013,5.4,0.52,,0.181,0.57,115.7,363,17%,106.7,1.2,64,2.1,2011,4,0,None,4
Jeff Adrien,"Adrien,Jeff",2015,17,216,0.432,0.118,0.295,0.137,0.5,0.119,0.142,0.105,0,0.024,0.009,6.7,0.432,,0.204,0.52,104.4,69,16%,104.4,-0.3,8,0.3,2011,5,0,None,4
Arron Afflalo,"Afflalo,Arron",2008,75,977,0.432,0.044,0.124,0.129,0.282,0.149,0.152,0.081,0.199,0.005,0.017,4.1,0.461,0.208,0.084,0.5,104.3,276,15%,100.5,0.4,49,1.6,2008,1,0,None,2
Arron Afflalo,"Afflalo,Arron",2009,74,1247,0.508,0.028,0.1,0.14,0.193,0.146,0.144,0.055,0.357,0.007,0.012,5.5,0.456,0.402,0.064,0.47,106.5,327,14%,109.4,-0.9,28,0.9,2008,2,0,None,2
Arron Afflalo,"Afflalo,Arron",2010,82,2221,0.557,0.031,0.098,0.127,0.123,0.156,0.145,0.093,0.426,0.008,0.01,4.9,0.488,0.434,0.065,0.49,113.3,663,13%,109.6,-0.3,80,2.7,2008,3,0,None,2
Arron Afflalo,"Afflalo,Arron",2011,69,2324,0.581,0.023,0.099,0.108,0.22,0.161,0.155,0.109,0.396,0.008,0.007,3.2,0.546,0.423,0.062,0.52,118.2,775,14%,111.3,0.2,105,3.5,2008,4,0,None,2
Arron Afflalo,"Afflalo,Arron",2012,62,2086,0.534,0.023,0.085,0.116,0.282,0.199,0.201,0.111,0.316,0.004,0.009,3.1,0.504,0.398,0.055,0.51,112.9,827,18%,110.7,0.1,89,3,2008,5,0,None,2
Arron Afflalo,"Afflalo,Arron",2013,64,2307,0.478,0.014,0.103,0.14,0.211,0.225,0.229,0.146,0.265,0.003,0.009,2.9,0.489,0.3,0.058,0.46,100.7,990,22%,112.9,-2.2,-9,-0.3,2008,6,0,None,2
Arron Afflalo,"Afflalo,Arron",2014,73,2552,0.522,0.014,0.102,0.131,0.271,0.233,0.24,0.169,0.297,0.001,0.007,2.6,0.473,0.427,0.058,0.48,108.3,1210,22%,112.9,-0.6,73,2.4,2008,7,0,None,2
Arron Afflalo,"Afflalo,Arron",2015,78,2502,0.491,0.012,0.095,0.132,0.189,0.198,0.196,0.081,0.377,0.002,0.008,3.2,0.466,0.354,0.053,0.44,101.4,890,18%,111.8,-2.1,-4,-0.1,2008,8,0,None,2
Maurice Ager,"Ager,Maurice",2007,32,219,0.35,0.006,0.108,0.185,0.286,0.196,0.207,0.048,0.214,0.009,0.01,5.9,0.309,0.333,0.058,0.38,78.6,64,20%,103.9,-4.5,-11,-0.4,2007,1,0,None,2
Maurice Ager,"Ager,Maurice",2008,26,171,0.346,0.027,0.06,0.097,0.092,0.232,0.22,0.075,0.292,0.004,0,4.8,0.391,0.158,0.044,0.36,77.1,48,19%,114.4,-6.6,-16,-0.5,2007,2,0,None,2
