player_name,Player,season,G,Min,eFG_per,OR_per,DR_per,TO_per,FTr,Fguse_per,ShotUse_per,AstRate,FG3r,BLKr,STLr,PF/48min,FG2_per,FG3_per,TREB_per,Floor_per,ORTG,PtsProd,PossUsg,DRTG,NetPts/48,NetPtsAR,WinsAR,StartYear,YearsInLeague,all_nba,team,Positions
Lester Conner,"conner,lester",1989,82,2532,0.467,0.043,0.116,0.193,0.314,0.146,0.151,0.332,0.055,0.001,0.034,2.5,0.463,0.351,0.078,0.55,112.4,1056,18%,108.4,0.5,133,4.4,1983,7,0,None,1
Lester Conner,"conner,lester",1990,82,2355,0.415,0.038,0.084,0.189,0.3,0.129,0.132,0.233,0.023,0.002,0.035,3.7,0.42,0.154,0.06,0.52,105,766,15%,108.3,-0.9,52,1.7,1983,8,0,None,1
Lester Conner,"Conner,Lester",1991,74,1008,0.464,0.023,0.104,0.204,0.329,0.113,0.119,0.221,0.024,0.001,0.041,3.6,0.475,0,0.062,0.54,108,308,14%,104.5,0.2,45,1.5,1983,9,0,None,1
Lester Conner,"Conner,Lester",1992,81,1420,0.431,0.049,0.101,0.212,0.339,0.093,0.099,0.271,0.029,0.004,0.034,2.9,0.444,0,0.074,0.55,112.2,418,13%,109.4,-0.3,51,1.7,1983,10,0,None,1
Lester Conner,"Conner,Lester",1993,31,422,0.452,0.041,0.088,0.228,0.29,0.079,0.08,0.186,0,0.005,0.039,4.4,0.452,,0.064,0.53,110.1,102,11%,104.9,0,18,0.6,1983,11,0,None,1
Lester Conner,"Conner,Lester",1994,11,169,0.368,0.071,0.092,0.187,0.079,0.136,0.126,0.255,0.079,0.004,0.043,3.4,0.4,0,0.082,0.49,97.1,47,15%,98.8,-0.3,6,0.2,1983,12,0,None,1
Lester Conner,"Conner,Lester",1995,2,5,,0,0,0,,0,0.08,0,,0,0.101,28.8,,,0,1,250,2,7%,94,11.7,1,0,1983,13,0,None,1
Will Conroy,"conroy,will",2007,7,53,0,0.068,0.09,0.231,0,0.035,0.047,0.229,0,0,0,6.3,0,,0.079,0.34,71.6,6,9%,102.5,-2.9,-1,0,2007,1,0,None,1
Will Conroy,"conroy,will",2010,5,36,0.3,0,0.1,0.262,0,0.16,0.155,0.281,0.3,0,0,6.7,0.429,0,0.048,0.29,59.6,9,22%,124.8,-12.9,-8,-0.3,2007,4,0,None,1
Will Conroy,"conroy,will",2013,4,20,0,0.054,0,0,0.111,0.259,0.252,0,0.333,0,0,2.3,0,0,0.028,0.11,20.7,2,18%,150.4,-23,-9,-0.3,2007,7,0,None,1
Anthony Cook,"Cook,Anthony",1991,58,1121,0.417,0.103,0.179,0.147,0.251,0.112,0.121,0.026,0.011,0.032,0.013,4.3,0.421,0,0.137,0.51,99.7,340,13%,113.2,-3.1,-26,-0.9,1991,1,0,None,4
Anthony Cook,"Cook,Anthony",1992,22,115,0.6,0.115,0.209,0.113,0.16,0.117,0.115,0.025,0,0.02,0.021,4.2,0.6,,0.159,0.64,127.7,34,11%,105.6,1.9,9,0.3,1991,2,0,None,4
Anthony Cook,"Cook,Anthony",1994,25,203,0.481,0.109,0.206,0.182,0.185,0.153,0.16,0.029,0.019,0.04,0.007,5.2,0.491,0,0.157,0.48,93,61,17%,108.4,-2.8,-3,-0.1,1991,4,0,None,4
Anthony Cook,"Cook,Anthony",1996,11,60,0.438,0.095,0.132,0.064,0.063,0.159,0.153,0.051,0.125,0.01,0.009,6.4,0.5,0,0.114,0.51,100.7,16,14%,110.6,-1.9,0,0,1991,6,0,None,4
Brian Cook,"cook,brian",2004,35,442,0.475,0.078,0.182,0.12,0.149,0.19,0.18,0.074,0.035,0.022,0.019,7,0.493,0,0.129,0.51,102.9,146,17%,99.5,0.4,22,0.7,2004,1,0,None,3.5
Brian Cook,"cook,brian",2005,72,1087,0.509,0.066,0.158,0.078,0.066,0.232,0.212,0.057,0.472,0.014,0.011,6.1,0.439,0.392,0.112,0.47,110.6,410,18%,109.7,-0.1,43,1.4,2004,2,0,None,3.5
Brian Cook,"cook,brian",2006,81,1532,0.546,0.068,0.143,0.119,0.164,0.201,0.191,0.083,0.164,0.013,0.013,6.4,0.527,0.429,0.105,0.54,115.8,592,18%,108.2,1,96,3.2,2004,3,0,None,3.5
Brian Cook,"Cook,Brian",2007,65,1022,0.509,0.072,0.175,0.125,0.083,0.241,0.222,0.107,0.281,0.015,0.013,6.3,0.473,0.4,0.124,0.48,105.1,428,20%,108.9,-0.7,28,0.9,2004,4,0,None,3.5
Brian Cook,"Cook,Brian",2008,51,632,0.468,0.052,0.139,0.162,0.081,0.221,0.201,0.065,0.491,0.011,0.01,7.1,0.378,0.374,0.098,0.38,92.9,223,19%,105.8,-2.4,-5,-0.2,2004,5,0,None,3.5
Brian Cook,"Cook,Brian",2009,30,170,0.454,0.049,0.163,0.171,0.066,0.273,0.25,0.051,0.395,0.01,0.009,7.3,0.326,0.433,0.108,0.36,87.3,66,23%,102.3,-3.1,-4,-0.1,2004,6,0,None,3.5
Brian Cook,"Cook,Brian",2010,15,45,0.348,0.024,0.209,0.228,0.217,0.291,0.292,0.035,0.391,0.026,0,5.3,0.357,0.222,0.113,0.33,71.4,19,29%,109.5,-9.6,-7,-0.2,2004,7,0,None,3.5
Brian Cook,"Cook,Brian",2011,40,447,0.524,0.05,0.2,0.156,0.088,0.229,0.214,0.056,0.465,0.015,0.014,8,0.418,0.43,0.126,0.41,97,155,18%,109.3,-2.3,-3,-0.1,2004,8,0,None,3.5
Brian Cook,"Cook,Brian",2012,32,276,0.367,0.042,0.225,0.115,0.092,0.209,0.196,0.056,0.51,0.011,0.011,8.4,0.438,0.2,0.132,0.32,72.6,70,18%,100.1,-4.6,-15,-0.5,2004,9,0,None,3.5
Daequan Cook,"Cook,Daequan",2008,59,1440,0.458,0.016,0.133,0.125,0.091,0.223,0.208,0.091,0.463,0.004,0.008,5.2,0.424,0.332,0.074,0.39,91.9,463,19%,113.3,-3.8,-53,-1.8,2008,1,0,None,2
Daequan Cook,"Cook,Daequan",2009,75,1829,0.494,0.012,0.112,0.075,0.076,0.212,0.197,0.062,0.612,0.003,0.011,3.3,0.356,0.387,0.062,0.4,100.9,567,16%,110.2,-1.8,9,0.3,2008,2,0,None,2
Daequan Cook,"Cook,Daequan",2010,45,691,0.399,0.015,0.123,0.101,0.083,0.223,0.208,0.098,0.498,0.009,0.011,3.5,0.323,0.317,0.07,0.37,88,209,18%,100.4,-2.1,-1,0,2008,3,0,None,2
Daequan Cook,"Cook,Daequan",2011,43,598,0.616,0.016,0.121,0.112,0.088,0.183,0.167,0.053,0.851,0.001,0.012,4.1,0.519,0.422,0.07,0.4,108.4,164,13%,107,-0.4,20,0.7,2008,4,0,None,2
Daequan Cook,"Cook,Daequan",2012,57,989,0.502,0.015,0.119,0.063,0.047,0.183,0.166,0.023,0.77,0.007,0.011,3.3,0.441,0.346,0.07,0.34,88.7,224,13%,105,-2.6,-12,-0.4,2008,5,0,None,2
Daequan Cook,"Cook,Daequan",2013,49,442,0.383,0.018,0.14,0.101,0.054,0.222,0.205,0.066,0.545,0.009,0.009,2.8,0.329,0.286,0.079,0.32,77.6,115,18%,110.1,-5.5,-33,-1.1,2008,6,0,None,2
Darwin Cook,"Cook,Darwin",1981,81,1980,0.471,0.053,0.082,0.187,0.161,0.224,0.216,0.219,0.031,0.01,0.032,4.8,0.475,0.24,0.067,0.49,99.3,934,22%,106.4,-1.4,23,0.8,1981,1,0,None,3.5
Darwin Cook,"Cook,Darwin",1982,82,2090,0.486,0.028,0.056,0.195,0.147,0.21,0.201,0.218,0.039,0.007,0.033,4.5,0.492,0.226,0.042,0.5,101.1,907,20%,102.8,-0.3,72,2.4,1981,2,0,None,3.5
Darwin Cook,"Cook,Darwin",1983,82,2625,0.453,0.032,0.071,0.209,0.189,0.207,0.202,0.236,0.039,0.01,0.034,3.9,0.459,0.211,0.052,0.5,100.5,1147,20%,98.6,0.4,131,4.4,1981,3,0,None,3.5
Darwin Cook,"Cook,Darwin",1984,82,1870,0.451,0.031,0.065,0.183,0.138,0.2,0.189,0.254,0.067,0.011,0.041,4.7,0.457,0.239,0.048,0.5,101.8,790,19%,102.9,-0.2,69,2.3,1981,4,0,None,3.5
Darwin Cook,"Cook,Darwin",1985,58,1063,0.47,0.021,0.077,0.163,0.104,0.226,0.212,0.208,0.051,0.005,0.033,4.3,0.488,0.087,0.049,0.5,101.8,468,21%,106.8,-1,22,0.7,1981,5,0,None,3.5
Darwin Cook,"Cook,Darwin",1986,79,1965,0.435,0.029,0.072,0.181,0.134,0.173,0.164,0.261,0.085,0.006,0.037,4.2,0.446,0.208,0.05,0.5,100.9,736,17%,104.9,-0.9,46,1.5,1981,6,0,None,3.5
Darwin Cook,"Cook,Darwin",1987,82,1420,0.428,0.034,0.075,0.155,0.132,0.233,0.219,0.16,0.037,0.006,0.033,4.6,0.439,0.087,0.054,0.48,96.6,599,21%,106.8,-2.1,-2,-0.1,1981,7,0,None,3.5
Darwin Cook,"cook,darwin",1989,66,1143,0.464,0.03,0.071,0.177,0.132,0.213,0.203,0.153,0.086,0.005,0.028,5.1,0.481,0.195,0.05,0.48,98,486,20%,108.7,-2.2,-5,-0.2,1981,9,0,None,3.5
Jeff Cook,"Cook,Jeff",1980,66,904,0.469,0.112,0.18,0.194,0.378,0.166,0.174,0.122,0.011,0.011,0.014,5.4,0.474,0,0.146,0.53,107.7,394,19%,103.3,0.8,52,1.7,1980,1,0,None,4.5
Jeff Cook,"Cook,Jeff",1981,79,2192,0.464,0.087,0.147,0.2,0.162,0.152,0.147,0.118,0.008,0.013,0.017,5.2,0.468,0,0.117,0.51,100.3,731,15%,100.8,-0.2,82,2.7,1980,2,0,None,4.5
Jeff Cook,"Cook,Jeff",1982,76,1298,0.422,0.098,0.157,0.181,0.249,0.153,0.157,0.1,0.006,0.01,0.014,6.4,0.424,0,0.128,0.5,98.5,435,16%,103.1,-0.9,29,1,1980,3,0,None,4.5
Jeff Cook,"Cook,Jeff",1983,75,1333,0.487,0.101,0.18,0.251,0.26,0.127,0.129,0.102,0.01,0.013,0.014,6.5,0.492,0,0.141,0.5,100.2,419,15%,103,-0.7,35,1.2,1980,4,0,None,4.5
Jeff Cook,"Cook,Jeff",1984,81,1950,0.487,0.098,0.187,0.186,0.243,0.109,0.11,0.084,0.005,0.014,0.017,6.9,0.486,0.5,0.141,0.54,108.9,533,12%,106.7,-0.3,69,2.3,1980,5,0,None,4.5
Jeff Cook,"Cook,Jeff",1985,72,1288,0.495,0.106,0.162,0.15,0.168,0.118,0.113,0.06,0.004,0.01,0.011,7.6,0.496,0,0.135,0.56,112.3,360,12%,109.3,-0.5,40,1.3,1980,6,0,None,4.5
Jeff Cook,"Cook,Jeff",1986,36,373,0.425,0.101,0.155,0.144,0.37,0.109,0.117,0.07,0.014,0.016,0.016,8.4,0.431,0,0.128,0.55,107.7,105,12%,107.4,-0.7,10,0.3,1980,7,0,None,4.5
Jeff Cook,"Cook,Jeff",1988,33,359,0.237,0.115,0.218,0.174,0.39,0.089,0.094,0.045,0.017,0.012,0.012,8.6,0.241,0,0.166,0.45,92,74,11%,109.8,-2.9,-7,-0.2,1980,9,0,None,4.5
Norm Cook,"Cook,Norm",1978,2,10,0.333,0.107,0.198,0,0,0.16,0.14,0.126,0,0,0,19.2,0.333,,0.154,0.5,100.8,3,12%,104.4,-1.4,0,0,,,0,None,
Omar Cook,"cook,omar",2004,17,139,0.259,0.026,0.025,0.281,0,0.12,0.108,0.256,0.037,0,0.04,4.8,0.269,0,0.026,0.35,71.2,25,14%,101.6,-4.1,-6,-0.2,2004,1,0,None,1
